Year,Mean,SD,Pop,Pop_desc,Wolf_control_pen
1995,0,NA,2,Pen,0
1996,0,NA,2,Pen,0
1997,0,NA,2,Pen,0
1998,0,NA,2,Pen,0
1999,0,NA,2,Pen,0
2000,0,NA,2,Pen,0
2001,0,NA,2,Pen,0
2002,0,NA,2,Pen,0
2003,0,NA,2,Pen,0
2004,0,NA,2,Pen,0
2005,0,NA,2,Pen,0
2006,0,NA,2,Pen,0
2007,0,NA,2,Pen,0
2008,0,NA,2,Pen,0
2009,0,NA,2,Pen,0
2010,0,NA,2,Pen,0
2011,0,NA,2,Pen,0
2012,0,NA,2,Pen,0
2013,0,NA,2,Pen,0
2014,10,NA,2,Pen,1
2015,11,NA,2,Pen,1
2016,14,NA,2,Pen,1
2017,9,NA,2,Pen,1
2018,12,NA,2,Pen,1
2019,17,NA,2,Pen,1
2020,14,NA,2,Pen,1
